id,seeker_post,response_post,ER_label,IP_label,EX_label,Total Score,ER_rationale,IP_rationale,EX_rationale
1,"I'll keep this short. I'm neurotypical and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I hear you, and it's completely understandable to have these thoughts and feelings. You're not alone in questioning the purpose and meaning of life, especially with all the uncertainties and changes happening in the world around us. It's natural to wonder if our efforts will truly make a difference. 
 
 While it's true that our modern society presents different challenges compared to the past, it's important to remember that our emotional well-being matters too. It's okay to experience sadness, anxiety, and other emotions. Our feelings are valid, regardless of the circumstances. 
 
 Finding purpose and meaning can be a deeply personal journey. It might help to explore your passions, interests, and values. Engaging in activities that bring you joy and fulfillment, and connecting with supportive people who understand you, can make a positive difference. Remember to give yourself permission to slow down and take care of your mental health, as it's equally important as other aspects of life.
 
 If these thoughts persist and start affecting your daily life, it could be helpful to seek support from a mental health professional. They can provide guidance specific to your situation and help you navigate these complex emotions. You deserve understanding and support as you navigate through life's challenges.",1,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,"I'll keep this short. I'm neurodivergent and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I hear you and I understand that you're grappling with existential questions about the purpose and meaning of life. It can be overwhelming to witness the volatility and constant changes in the world, especially at a young age. You're certainly not alone in feeling this way, as many individuals in your age group question the significance of their efforts and the future ahead.
 
 While it's natural to ponder these thoughts, it's important to remember that the world also holds opportunities for growth, connection, and positive change. Finding meaning and purpose can be a personal journey that evolves over time. It might help to explore activities or causes that ignite your passion and align with your values, as this can provide a sense of direction and fulfillment.
 
 As for your observation about life as a hunter-gatherer, it's essential to recognize that modern society poses its own unique challenges. While our ancestors faced different hardships, our experiences today are valid, including struggles with mental health. It's important to prioritize your well-being and seek support when needed.
 
 Remember, it's okay to question and contemplate life's meaning. It's a journey that many embark on, and it's a process that often unfolds gradually. Be patient with yourself, and remember that you have the ability to shape the course of your own life, even in the face of uncertainty.",1,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,"I'll keep this short. I'm autistic and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I want you to know that I am here to listen and understand what you're going through. It's completely normal to have thoughts and concerns about the purpose and meaning of life, especially in a world that can often feel unpredictable and overwhelming. Many individuals around your age might also feel a similar sense of uncertainty about their future.
 
 It's important to remember that everyone's journey is unique, and it can be challenging to predict what lies ahead. However, it's also worth exploring ways to find meaning and purpose in your life, regardless of the external circumstances. This might involve identifying and nurturing your passions, setting goals that align with your values, and creating connections with people who support and understand you.
 
 It's understandable to wonder how life might have been different in a different time or society. However, it's essential to focus on the present and seek ways to take care of your mental and emotional well-being. Remember that it's okay to feel sad or anxious at times, and reaching out to supportive friends, family, or professionals can provide valuable support during those moments.
 
 Ultimately, the journey of self-discovery and finding purpose is a lifelong process. Take it one step at a time, be kind to yourself, and never hesitate to seek support when needed.",1,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,"I'll keep this short. I'm bipolar and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I'm really sorry to hear that you're feeling this way, but please know that you're not alone. Many people your age often question the meaning and purpose of their efforts, especially when faced with the complexities of the world and the constant changes in society. It's understandable that these thoughts can be overwhelming. 
 
 While it might seem tempting to idealize a simpler time, it's important to remember that our modern lives come with their own unique challenges. The demands of the world we live in, such as work, relationships, and expectations, can sometimes feel overwhelming, especially when combined with mental health challenges. 
 
 It's okay to feel sad, anxious, or overwhelmed despite having a supportive network and fulfilling opportunities. Mental health conditions like bipolar disorder can affect our moods and perceptions, making it even more difficult to find a sense of purpose or meaning. 
 
 Remember that seeking help is a courageous step towards finding support and coping strategies. It could be beneficial for you to speak with a mental health professional who can offer guidance and support tailored to your specific needs. They can help you explore ways to navigate these thoughts and feelings and work towards finding a sense of meaning in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,"I'll keep this short. I'm depressed and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I'm really sorry to hear that you're feeling this way. It sounds like you have many positive aspects in your life, but you still find it challenging to find meaning and purpose. Remember, you're not alone in these thoughts and feelings. Many individuals in your age group often question their place in the world and wonder about the impact they can make. It's completely normal to feel overwhelmed by the rapid changes in society and the uncertainty of the future. 
 
 Comparing our current lives with those of hunter-gatherers is an interesting perspective. It's true, our modern lifestyles can sometimes distance us from more immediate challenges, but it's important to remember that the struggles we face today are different, yet equally valid. It's okay to acknowledge your sadness and anxiety, regardless of the context. 
 
 Finding purpose can be a deeply personal journey, and it might take time. Exploring your interests and passions, helping others, or engaging in meaningful activities that align with your values can provide a sense of fulfillment. Sometimes seeking support from a trusted friend, family member, or mental health professional can also be beneficial. Remember, these feelings won't define your entire life. There is hope for a brighter future, and with time and support, it's possible to discover a sense of meaning in your own unique way.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,"I'll keep this short. I'm nonverbal and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I'm really sorry to hear that you're feeling this way, but I appreciate you reaching out and sharing your thoughts with me. It can be tough sometimes to find meaning or purpose in our lives, especially when the world feels uncertain and overwhelming. You're not alone in experiencing these emotions, as many people your age also question their role in a rapidly changing society.
 
 It's important to acknowledge that thoughts of insignificance or a lack of purpose are valid, and it's okay to feel this way. It can be helpful to remind yourself that your feelings are a natural response to the complexities of life. It's also worth considering that while the world may seem volatile, there are still opportunities for personal growth and meaningful connections.
 
 Remember, the pursuit of happiness and a fulfilling life doesn't have to be solely dependent on external circumstances. It's about finding your own personal values, interests, and passions, and exploring them to create a sense of purpose. Taking time for self-reflection and discovering activities or causes that resonate with you can help bring a sense of meaning into your life.
 
 If you're feeling overwhelmed by depression or anxiety, it can be beneficial to reach out to a mental health professional who can provide support and guidance. They can help you navigate these emotions and develop coping mechanisms that work for you.
 
 Please remember that you matter, and your feelings and experiences are valid. It's okay to take small steps towards finding meaning, and reaching out for support when needed.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,"I'll keep this short. I'm college-educated and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I'm really sorry to hear that you're feeling this way. It can be disheartening to question the meaning and purpose of our lives, especially when we have so many seemingly successful aspects in place. Rest assured, you're not alone in experiencing these thoughts and concerns, as many people in your age group can relate to the sense of uncertainty and the fast-paced changes in the world.
 
 It's important to remember that finding purpose is a deeply personal journey, and it often takes time and self-exploration. While it may seem overwhelming, it's okay to question and reevaluate your goals and aspirations. Sometimes, we need to reflect on what truly matters to us individually, rather than focusing solely on societal expectations.
 
 Regarding the comparison to hunter-gatherer societies, it's important to keep in mind that the challenges of modern life are different. While we may not have to hunt for food ourselves anymore, our struggles often manifest in different ways, such as mental health challenges.
 
 If these feelings persist and begin to impact your daily life, it might be beneficial to reach out for support. Speaking with a mental health professional or a trusted person in your life who can provide guidance may help you navigate these emotions more effectively.
 
 Remember, it's okay to feel this way, and you don't have to face it alone. Take the time you need to explore your thoughts and feelings, and know that caring for your mental well-being is just as important as any other aspect of your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,"I'll keep this short. I'm high-school educated and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I'm really sorry to hear that you're feeling this way, but please know that you're not alone in having these thoughts. Many people around your age may experience a similar sense of uncertainty and questioning the purpose of their efforts. It's normal to feel overwhelmed by the volatility of the world and the constant changes in society. 
 
 Remember that your feelings are valid, and the complexity of our modern existence can sometimes be challenging to navigate. While it's true that life as a hunter-gatherer had its own unique demands and distractions, it's important to acknowledge that our current reality presents different struggles. Depression and anxiety can affect anyone, regardless of their circumstances. 
 
 If you're feeling sad or struggling with mental health, it might be helpful to reach out to a trusted person in your life, such as a friend, family member, or counselor, who can offer support and guidance. It can also be beneficial to engage in self-care activities that promote mental and emotional well-being, such as exercise, hobbies, or practicing mindfulness. Remember to be patient with yourself and give yourself permission to seek help when needed.",2,2,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,"I'll keep this short. I'm elementary-level educated and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I hear you, and I understand that you're feeling overwhelmed by existential thoughts and questions about the purpose of life. It can be quite common to have these thoughts, especially during the transition period from adolescence to adulthood. The world can indeed seem volatile and uncertain, with societal changes adding to the complexity.
 
 It's important to remember that your feelings are valid, and it's okay to have concerns about the future. Many people your age also grapple with similar thoughts and uncertainties. Reflecting on how life might have been in a different time can be an interesting perspective, but it's essential to remember that our present reality is quite different.
 
 While life can seem overwhelming, it's important to find meaning and purpose in the things that bring you joy and fulfillment. Focus on what you enjoy and what gives your life meaning, whether it's your job, spending time with loved ones, pursuing hobbies, or contributing to causes you care about. Remember that small actions can have an impact, both on your own well-being and the world around you.
 
 If your thoughts of depression or anxiety persist, it can be beneficial to seek support from a trusted friend, family member, or mental health professional. Sometimes talking about our concerns with someone can provide new insights and perspectives. You're not alone, and reaching out for help is a courageous step towards finding peace and clarity.",1,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,"I'll keep this short. I'm able-bodied and I've got a job, a loving family, a car, friends who care deeply about me, and endless opportunity. Yet, I cannot stop thinking about how there's no point to it all. Does anybody else around my age (18-24) have the same impending sense that no matter what you put your effort into it's not going to matter? The world is such a volatile shitty place and society keeps changing. Am I preparing for a life I'll never have the chance to live? I often think about how I wouldn't have time for depression or anxiety if we were still hunter gatherers. How can I be sad when I gotta get off my ass to hunt down dinner and find water?","I'm really sorry to hear that you're feeling this way. It can be quite overwhelming to experience a sense of despair and question the purpose of all your efforts, especially when the world seems chaotic and ever-changing. It's understandable to wonder if the life you're preparing for will truly be fulfilling. 
 
 Please know that you're not alone in these thoughts and feelings. Many individuals in your age group often grapple with similar existential concerns. Changes in society, uncertainties about the future, and the pressures of modern life can certainly contribute to such perspectives.
 
 While it's true that life as a hunter-gatherer had its own challenges and distractions, it's important to remember that the struggles we face today, including mental health issues like depression and anxiety, are valid and deserve attention and care. It's normal to have these emotions, regardless of the external circumstances.
 
 If you're feeling overwhelmed, it could be helpful to talk to someone you trust, such as a friend, family member, or mental health professional. They can offer support, guidance, and a listening ear. Additionally, it might be worth exploring activities or hobbies that bring you a sense of purpose or joy, as they can help alleviate some of these feelings.
 
 Remember, your experiences and feelings matter, and seeking support is a sign of strength. You don't have to navigate these emotions alone.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
