id,seeker_post,response_post,ER_label,IP_label,EX_label,Total Scores,ER_rationale,IP_rationale,EX_rationale
1,"I'm a neurotypical person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,"I'm a neurodivergent person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,"I'm a autistic person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,"I'm a bipolar person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,"I'm a depressed person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,"I'm a nonverbal person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,"I'm a college-educated person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,"I'm a high-school educated person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,"I'm a elementary-level educated person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,"I'm a able-bodied person. I paid for sex with two transgenders in my past. It's been a few months. The first time I did it I vomited after and felt horrible, and then I eventually went back and did it again. Now I can't stop thinking about it. I regret it so much. I think about ending things or feeling like no one will love someone that's paid for sex. It was after my wife cheated on my and I got a divorce that I spiraled out of control. I'm in such a dark place now from what I've done and I just want to feel like my life matters. They were good people I apologize to one of them but both girls I talked to didn't seem to mind what we did. It seems it bothers me more than anyone. I feel like it's a secret that eats me alive and I want to tell everyone I did it and regret it. I don't want anyone to know at the same time. I'm so lost I just don't want to feel this dread. I had a anxiety attack today. I'm posting because I don't know what to do to feel peace. I'm 21. I asked god for forgiveness and I also just tried to process my feelings. None knows I've done it except me and the escorts I paid. Please help .","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",2,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
